produk,user,review,klasifikasi
acnes facewash,ilysmzaaa,acnes facial wash enak tidak recommended fw gentle i mean produk fragrance alcohol segi ingredients kandung potensi comedogenic tidak fungal acne safe friendly so kandung comedogenic but produk bilas pakai oke kulit tahan dg alcohol perfume,negative
acnes facewash,AbiyazkaZahra,oke adek kakak main rumah lupa bawa sabun muka tekstur mama creamy busa lumayan wangi tidak mungkin didesign kulit sensitif sayang sayang kulit tidak cocok produk pakai x pagi sore jerawat hidung tidak ganti skincare apa maaf acne tidak jodoh klaim kulit sensitif tidak cocok,negative
acnes facewash,Echasaras,kandung bahan bersih ering kulit myristic acid fragrance alergi kulit alkohol zat ering kulit lucut kulit gerus hydrasi kulit bersih buruk kulit sensitif blemish prone skin rentan merah ering kulit kulit minyak buat kering lapis minyak bawah buruk tekstur kulit kulit normal minyak bagus,negative
acnes facewash,mentaritiara,facial wash bikin kulit kering banget huhu mungkin kulit minyak jerawat banget worth it kulit kering gaterlalu jerawat parah jerawat kering kerontang kulit iyaa bagus fw bikin cerah,negative
acnes facewash,firyalane,kulit bermi sekali cuci muka pakai facial wash inj tarik bikin kering banget wajah kandung alkohol parfum kulit sensitif solusi facial wash pas adang kulit yang timbul jerawat komedo merah big tidak recommen facial wash,negative
acnes facewash,RaionChan,bruntusan acne nyoba make produk acnes ftft habis tube tetep tidak ada uang ubah harap klaim bantu ngurangin jerawat minus tidak pengaruh jerawat plus tidak nambah parah neutral gituu worth to try make awal kenal skincare,negative
acnes facewash,oktev23,acnes creamy wash tidak memang tidak cocok kulit wajah kering banget muka merah jerawat tidak reda produk sedia bagai minimarket mudah ditemuin,negative
acnes facewash,Nofias11,cocok pakai bestie cocok tekstur creamy pakai tidak bikin tarik nyaman kulit perih pakai muncul jerawat kecil paksa stop pakai harga affordable tidak ramah kulit maaf to say,negative
acnes facewash,agnes10,ken nyobain wajah beruntus parah minggu cobain tidak hasil sedih banget wajah parahiritasi kulit teman tidak tahu,negative
acnes facewash,garinaulia,tidaaaaaaaaaaaaaaak kulit wajah kering banget banget banget maaf acnes tidak cocok jerawat tidak reda tidak memang tidak cocok keluh produk sedia bagai minimarket mudah,negative
acnes facewash,lafille_moon,salah beli ambil fw pas minimarket tidak cocok kuliktu muncul bruntusan jerawat bagi pipi inget kulit bedabeda,negative
acnes facewash,Alda_audiva22,ngalami wajah hancur banget acne ikhtiar beli produk acnes but i dont know why there isnt change in my face sedih bangettt claimnya tidak hasil mungkin cocok review cocok pakai alhasil beli kasih bestie,negative
acnes facewash,Hanyyy,tidak cocok pakai produk acnes huhuuu banget teman pakai harga ramah kantong face wash pakai kulit kering banget coba telatenin pakai buang muncul jerawat,negative
acnes facewash,Permatadiah,reviewnya bagusbagus sayang banget tidak pengaruh sedih banget banget banget tidak cocok jerawat tibatiba bruntusan bruntusan parah tidak jidat pipi stop pakai kulit mungkin cocok,negative
acnes facewash,oliviadlya,kulit cuman bruntusan trus coba pakai lihat ingredients lumayan trus minggu temenku merah merah jerawat adang kulit yang timbul jerawat komedo merah benar benar meraahh banget jerawat mna kulit gatau kulit cocok cocok yagesya,negative
acnes facewash,beebeteity,bnyak review bagus produk acnes bagus banget sembuhin perkara jerawat but sayang bnget knapa muka kering jdnya habis cuci muka kaya tarik ditelatenin kaya proses nangganin muka pas jerawat sayang sekli ken bngt stay harga beli mudah jangkau,negative
acnes facewash,Angelica12_,bikin wajah kering banget tarik jerawat tidak sembuh komedo tidak kurang poripori wajah besar kulit dehidrasi cuci muka wajah kencang tidak cocok kulit oily dehidrasi,negative
acnes facewash,halloakuega,pakai kulit kusam tidak cocok sini bilang produk hilang jerawat tpidiaku timbul bruntusan jujur banget mungkin kali kulit cocok dia tidak inget tidak produk orglain pakai cocok kulit wajah,negative
acnes facewash,wirdajannah,nyoba fw pakai habis repurces coba busa luamayan wangi sedkit after bilas rasa kering tarik suka recommended orng memang tope kulit minyak trus cari fw affordable opsi,negative
acnes facewash,raihanaananda,sedihhh banget tidak cocok rangkai aman aman muka tekstur creamy lumayan busa bikin tidak cocok adalahhh after bilas wajah keset kering paraaahh coba kali tetep tidak bersajabat huuuuhu,negative
acnes facewash,cacaca3004,pakai produk bilas face wash kasih efek keseettttt banget kering banget muka minyak suka wangi produk pakai face wash tidak munculin reaksi negatif suka after feelnya bikin kulit keset abiezzz lebih harga murah gampang cari dimanamanaaa tidak repurchase duluu,negative
acnes facewash,fuzifauziii_,beli batu loncat uang beli fw pakai busa bangeeeet bikin kulit kering komedo muncul cuci muka kaya tarik gituu efek putih wajah saran cuci muka pakai mouisturizer biar wajah tidak dehidrasi,negative
acnes facewash,Novipw,tidak cocok pakai produk bikin kulit keringggggggggggggggggggggggggg banget dehidrasiselesai pakai produk kulit muka kayak tarik kesetgak ubah muka seelah pakai,negative
acnes facewash,zuhriaputri,efek ubah wajah klaim acne warrior mungkin cocok kulit lumayan affordable mudah dapat sayang cocok tekstur bau suka harum,negative
acnes facewash,na_jeel,kulit badak turut tidak ngaruhnya jerawatjerawatku klaim merknya jelasjelas rujuk jerawat pas pakai amanaman tidak bikin kering cari ngatasin jerawat,negative
acnes facewash,yovyitsnadyz_,sebab kulit break out bruntusan dahi mangkanya nyoba produk harap reda bruntusanku naas bukan hilang parah setress bgtt ituu pakai produk apa gacocokkk huhu sedihh,negative
acnes facewash,luthpiyah,beli males beli facewash ken nyoba affordable awal pakai enak tipe creami busa hasil gabegitu kering cuman pakai ko daerah mulut hidung kasar kaya komedo keluar enggan keluar timbul merahmerah muncul jerawat balik facewash pakai komedo kasar tibatiba gone acnes maaf gacocok,negative
acnes facewash,Labibah_,nyoba beli review beli gede tidak kecil berekspektasi liat reviewnya bagus tidak sedih banget lanjur beli gede warna face washya broken white tekstur creamy nama,negative
acnes facewash,denisailya,tidak efek kulit cuman rasa bersih keset purchase tidak hasil bye bye tekstur padet busa sayang ganti tidak hasil,negative
acnes facewash,nengratri,nyobain produk wajah purging segi harga masuk murah turut harga segitu isi tekstur nama creamy bulir halus scrub tidak bikin sakit aroma tidak suka arah aroma zat kimia sayang tidak kulit trus hasil keset banget kasih efek tarik harap depan acnes baik formula aroma,negative
acnes facewash,mellapie,pakai merah bagi dagu kira purging lamakelamaan bruntusan kecilkecil dahi muncul jerawat bagi jarang muncul jerawat bau nyengat busa tidak,negative
acnes facewash,nmgya,pakai kakak habis make tumbuh jerawat huftttdia salah sebab w jerawat pas tidak ttp bikin jerawatantp vanyak org cocok kakak w cocok banget w tidak bye,negative
acnes facewash,serinalc,bikin jerawat tidak tipe kulit sensitif nerima alkohol toner pakai viva alkohol okay okay ajatpi pakai bikin jerawat tidak problem kira purging tidak make fw timbul jerawataku pakai besok jerawat henti pakai fwnya ganti senka ngilang tu jerawat skincare tu memang cocok cocok,negative
acnes facewash,kartikarafiqa,jujurly tidak ubah pakai kulit kering rasanyaaaa murah cari gampang awet beli tube tidak habis serah tidak ubah bagus maaf acnes tidak pada,negative
acnes facewash,lajalion,big tidak tidak cocok kusam jerawat pas maka tidak nyaman banget sensitif hati cocok normal skin type kayak tipu review temenmu nyoba disaranin teman tidak cocok,negative
acnes facewash,mama_ika,pakai bikin bodoohhh kapokkkkulit kering kelupas jerawat dmnbruntusan kecil hilang ganti jerawat gede tidak gampang jerawat gedeuntung cepat sadar masalah fw,negative
acnes facewash,24aisyaah,beli murah gampang cari manamana tekstur creamy thick kasih air dikit sebar area wajah busa benerbener bersih wajah maksimal sayang facial wash bikin kering wajah banget pakai hydrating toner telah atas kulit berjeraway oke tanya repurchase tidak kayak tidak,negative
acnes facewash,aldona1205,fw murmer enak guna tidak murah daya bersih cm myristic acid lauric acid acid tidak terusin pakai alkohol penasaran coba tidak suka wlopun hasil bersih mesti buru guyur toner muka tidak kering,negative
acnes facewash,skinjournaling,this is a bit stripping on me tekstur creamy warna putih aroma kuat busa bilas bikin wajah bersih segar tapiii dry skin kayak bikin tarik aroma agak ganggu memang fragrance ingredients listnya,negative
acnes facewash,IdaNs,beli facial wash pakai habis produk ink promo bundling aling jell gede rasa tergiurlaaahhh pakai muncul jerawat syediihhh pakein sealling jellnya biar jerawat kalem tidak ngefek hiksss,negative
acnes facewash,Mustikawln24,pakai bruntusan jerawat pakai muncul benjol daerah rambut bruntusan parah jerawat gx beli kapok skincare cocok but im big tidak banget produk,negative
acnes facewash,DillaRaffike,promo beli free obat totol jerawat acnes kan check out kulit jerawat kayak tidak combinasi tidak kempes jerawat tidak suka bau kayak chemical banget turut rada bikin tarik kulit kayak tidak cocok,negative
cosrx toner,kylaaaaaooo,kali nyobain exfo toner cosrx pas pandemi berekspektasi sayang pengaruh pakai mungkin exfo bgai mula worth turut ringan,negative
